timestamp, audio inference
1364356872,0

1364356873,0

1364356874,0

1364356875,0

1364356876,0

1364356877,0

1364356878,0

1364356879,0

1364356880,0

1364356881,0

1364356881,0

1364356882,0

1364356883,0

1364356884,0

1364356885,0

1364356886,0

1364356887,0

1364356888,0

1364356889,0

1364356890,0

1364356891,0

1364356892,0

1364356893,0

1364356894,0

1364356895,0

1364356896,0

1364356897,0

1364356898,0

1364356899,0

1364356900,0

1364356901,0

1364356902,0

1364356903,0

1364356904,0

1364356904,0

1364356905,0

1364356906,0

1364356907,0

1364356908,0

1364356909,0

1364356910,0

1364356911,0

1364356912,0

1364356913,0

1364356914,0

1364356915,0

1364356916,0

1364356917,0

1364356918,0

1364356919,0

1364356920,0

1364356921,0

1364356922,0

1364356923,0

1364356924,0

1364356925,0

1364356926,0

1364356927,0

1364356928,0

1364356929,0

1364356929,0

1364356930,0

1364356931,0

1364357113,0

1364357114,0

1364357115,0

1364357116,0

1364357117,0

1364357117,0

1364357118,0

1364357119,0

1364357120,0

1364357121,0

1364357122,0

1364357123,0

1364357124,0

1364357125,0

1364357126,0

1364357127,0

1364357128,0

1364357129,0

1364357130,0

1364357131,0

1364357132,0

1364357133,0

1364357134,0

1364357135,0

1364357136,0

1364357137,0

1364357138,0

1364357139,0

1364357140,0

1364357140,0

1364357142,0

1364357142,0

1364357143,0

1364357144,0

1364357145,0

1364357146,0

1364357147,0

1364357148,0

1364357149,0

1364357150,0

1364357151,0

1364357152,0

1364357153,0

1364357154,0

1364357155,0

1364357156,0

1364357157,0

1364357158,0

1364357159,0

1364357160,0

1364357161,0

1364357162,0

1364357163,0

1364357164,0

1364357165,0

1364357165,0

1364357166,0

1364357167,0

1364357168,0

1364357169,0

1364357170,0

1364357171,0

1364357353,0

1364357353,0

1364357354,0

1364357355,0

1364357356,0

1364357357,0

1364357358,0

1364357359,0

1364357360,0

1364357361,0

1364357362,0

1364357363,0

1364357364,0

1364357365,0

1364357366,0

1364357367,0

1364357368,0

1364357369,0

1364357370,0

1364357371,0

1364357372,0

1364357373,0

1364357374,0

1364357375,0

1364357376,0

1364357376,0

1364357378,0

1364357378,0

1364357379,0

1364357380,0

1364357381,0

1364357382,0

1364357383,0

1364357384,0

1364357385,0

1364357386,0

1364357387,0

1364357388,0

1364357389,0

1364357390,0

1364357391,0

1364357392,0

1364357393,0

1364357394,0

1364357395,0

1364357396,0

1364357397,0

1364357398,0

1364357399,0

1364357400,0

1364357401,0

1364357401,0

1364357402,0

1364357403,0

1364357404,0

1364357405,0

1364357406,0

1364357407,0

1364357408,0

1364357409,0

1364357410,0

1364357411,0

1364357412,0

1364357594,0

1364357595,0

1364357596,0

1364357597,0

1364357597,0

1364357598,0

1364357599,0

1364357600,0

1364357601,0

1364357602,0

1364357603,0

1364357604,0

1364357605,0

1364357606,0

1364357607,0

1364357608,0

1364357609,0

1364357610,0

1364357611,0

1364357612,0

1364357613,0

1364357614,0

1364357615,0

1364357616,0

1364357617,0

1364357618,0

1364357619,0

1364357620,0

1364357620,0

1364357622,0

1364357622,0

1364357623,0

1364357624,0

1364357625,0

1364357626,0

1364357627,0

1364357628,0

1364357629,0

1364357630,0

1364357631,0

1364357632,0

1364357633,0

1364357634,0

1364357635,0

1364357636,0

1364357637,0

1364357638,0

1364357639,0

1364357640,0

1364357641,0

1364357642,0

1364357643,0

1364357644,0

1364357645,0

1364357645,0

1364357646,0

1364357647,0

1364357648,0

1364357649,0

1364357650,0

1364357651,0

1364357652,0

1364357833,0

1364357835,0

1364357835,0

1364357836,0

1364357837,0

1364357838,0

1364357839,0

1364357840,0

1364357841,0

1364357842,0

1364357843,0

1364357844,0

1364357845,0

1364357846,0

1364357847,0

1364357848,0

1364357849,0

1364357850,0

1364357851,0

1364357852,0

1364357853,0

1364357854,0

1364357855,0

1364357856,0

1364357857,0

1364357858,0

1364357858,0

1364357859,0

1364357860,0

1364357861,0

1364357862,0

1364357863,0

1364357864,0

1364357865,0

1364357866,0

1364357867,0

1364357868,0

1364357869,0

1364357870,0

1364357871,0

1364357872,0

1364357873,0

1364357874,0

1364357875,0

1364357876,0

1364357877,0

1364357878,0

1364357879,0

1364357880,0

1364357881,0

1364357881,0

1364357883,0

1364357883,0

1364357884,0

1364357885,0

1364357886,0

1364357887,0

1364357888,0

1364357889,0

1364357890,0

1364357891,0

1364357892,0

1364357893,0

1364358074,0

1364358075,0

1364358076,0

1364358077,0

1364358078,0

1364358079,0

1364358080,0

1364358081,0

1364358082,0

1364358083,0

1364358084,0

1364358085,0

1364358086,0

1364358087,0

1364358088,0

1364358089,0

1364358090,0

1364358091,0

1364358092,0

1364358093,0

1364358094,0

1364358094,0

1364358095,0

1364358096,0

1364358097,0

1364358098,0

1364358099,0

1364358100,0

1364358101,0

1364358102,0

1364358103,0

1364358104,0

1364358105,0

1364358106,0

1364358107,0

1364358108,0

1364358109,0

1364358110,0

1364358111,0

1364358112,0

1364358113,0

1364358114,0

1364358115,0

1364358116,0

1364358117,0

1364358118,0

1364358119,0

1364358119,0

1364358120,0

1364358121,0

1364358122,0

1364358123,0

1364358124,0

1364358125,0

1364358126,0

1364358127,0

1364358128,0

1364358129,0

1364358130,0

1364358131,0

1364358132,0

1364358133,0

1364358314,0

1364358315,0

1364358316,0

1364358317,0

1364358318,0

1364358319,0

1364358320,0

1364358321,0

1364358322,0

1364358323,0

1364358324,0

1364358325,0

1364358326,0

1364358327,0

1364358328,0

1364358329,0

1364358330,0

1364358330,0

1364358332,0

1364358332,0

1364358333,0

1364358334,0

1364358335,0

