timestamp, audio inference
1364409462,0

1364409463,0

1364409464,0

1364409465,0

1364409466,0

1364409467,0

1364409468,1

1364409469,1

1364409470,0

1364409471,1

1364409472,0

1364409473,0

1364409474,0

1364409475,0

1364409476,0

1364409476,0

1364409477,0

1364409478,0

1364409479,0

1364409480,0

1364409481,0

1364409482,0

1364409483,0

1364409484,0

1364409485,0

1364409486,0

1364409487,0

1364409488,1

1364409489,0

1364409490,0

1364409491,0

1364411330,0

1364411331,0

1364411332,0

1364411333,0

1364411334,0

1364411334,0

1364411335,0

1364411336,0

1364411337,0

1364411338,0

1364411339,0

1364411340,0

1364411341,0

1364411342,0

1364411343,0

1364411344,2

1364411345,0

1364411346,0

1364411347,0

1364411348,0

1364411349,0

1364411350,0

1364411351,0

1364411352,2

1364411353,0

1364411354,0

1364411355,1

1364411356,0

1364411357,1

1364411358,0

1364411359,0

1364411359,0

1364411360,0

1364411361,0

1364411362,1

1364411363,0

1364411364,0

1364411365,0

1364411366,0

1364411367,0

1364411368,0

1364411369,0

1364411370,0

1364411371,1

1364411372,0

1364411373,0

1364411374,0

1364411375,0

1364411376,0

1364411377,0

1364411378,0

1364411379,0

1364411380,0

1364411381,0

1364411382,0

1364411382,0

1364411383,0

1364411384,0

1364411385,0

1364411386,1

1364411387,0

1364411388,0

1364411570,0

1364411570,0

1364411572,0

1364411572,1

1364411573,1

1364411574,0

1364411575,0

1364411576,0

1364411577,0

1364411578,0

1364411579,0

1364411580,0

1364411581,0

1364411582,0

1364411583,0

1364411584,0

1364411585,0

1364411586,0

1364411587,0

1364411588,0

1364411589,0

1364411590,0

1364411591,0

1364411592,0

1364411593,0

1364411594,0

1364411595,0

1364411595,0

1364411596,0

1364411597,0

1364411598,0

1364411599,0

1364411600,0

1364411601,0

1364411602,0

1364411603,0

1364411604,0

1364411605,0

1364411606,2

1364411607,2

1364411608,1

1364411609,2

1364411610,1

1364411611,0

1364411612,0

1364411613,2

1364411614,0

1364411615,0

1364411616,0

1364411617,0

1364411618,0

1364411618,0

1364411620,0

1364411620,2

1364411621,2

1364411622,0

1364411623,0

1364411624,0

1364411625,0

1364411626,0

1364411627,2

1364411628,1

1364504942,1

1364504943,1

1364504944,1

1364504945,1

1364504946,1

1364504947,1

1364504948,1

1364504949,1

1364504950,1

1364504951,0

1364504952,0

1364504953,1

1364504954,2

1364504955,1

1364504956,2

1364504956,0

1364504957,1

1364504958,1

1364504959,2

1364504960,1

1364504961,1

1364504962,0

1364504963,1

1364504964,2

1364504965,1

1364504966,1

1364504967,2

1364504968,1

1364504969,1

1364504970,1

1364504971,1

1364504972,1

1364504973,1

1364504974,1

1364504975,1

1364504976,2

1364504977,1

1364504978,2

1364504979,0

1364504980,1

1364504981,2

1364504981,1

1364504982,1

1364504983,0

1364504984,1

1364504985,1

1364504986,1

1364504987,1

1364504988,1

1364504989,1

1364504990,1

1364504991,1

1364504992,1

1364504993,2

1364504994,0

1364504995,1

1364504996,0

1364504997,0

1364504998,0

1364504999,0

1364505000,0

1364505001,1

1364505002,0

1364505003,1

1364505004,1

1364505004,1

1364505005,0

1364505006,0

1364505007,1

1364505008,1

1364505009,2

1364505010,1

1364505011,1

1364505012,1

1364505013,1

1364505014,1

1364505015,2

1364505016,1

1364505017,1

1364505018,1

1364505019,1

1364505020,1

1364505021,1

1364505022,1

1364505023,1

1364505024,1

1364505025,1

1364505026,1

1364505027,1

1364505028,1

1364505029,1

1364505029,1

1364505030,0

1364505031,1

1364505032,1

1364505033,0

1364505034,1

1364505035,1

1364505036,1

1364505037,1

1364505038,1

1364505039,0

1364505040,2

1364505041,2

1364505042,1

1364505043,2

1364505044,2

1364505045,1

1364505046,1

1364505047,1

1364505048,1

1364505049,1

1364505050,2

1364505051,1

1364505052,1

1364505052,1

1364505053,0

1364505054,1

1364505055,2

1364505056,2

1364505057,1

1364505058,2

1364505059,2

1364505060,1

1364505061,2

1364505062,2

1364505063,1

1364505064,1

1364505065,1

1364505066,1

1364505067,1

1364505068,0

1364505069,0

1364505070,2

1364505071,1

1364505072,2

1364505073,2

1364505074,1

1364505075,2

1364505076,2

1364505077,1

1364505077,2

1364505078,2

1364505079,1

1364505080,0

1364505081,0

1364505082,1

1364505083,0

1364505084,1

1364505085,2

1364505086,1

1364505087,2

1364505088,1

1364505089,1

1364505090,1

1364505091,1

1364505092,1

1364505093,0

1364505094,2

1364505095,1

1364505096,2

1364505097,1

1364505098,1

1364505099,1

1364505100,2

1364505100,1

1364505102,0

1364505102,2

1364505103,1

1364505104,1

1364505105,1

1364505106,1

1364505107,1

1364505108,2

1364505109,2

1364505110,1

1364505111,1

1364505112,1

1364505113,1

1364505114,2

1364505115,1

1364505116,2

1364505117,0

1364505118,0

1364505119,1

1364505120,0

1364505121,0

1364505122,0

1364505123,1

1364505124,1

1364505125,0

1364505125,1

1364505126,0

1364505127,0

1364505128,0

1364505129,0

1364505130,0

1364505131,0

1364505132,1

1364505133,1

1364505134,1

1364505135,1

1364505136,1

1364505137,1

1364505138,1

1364505139,1

1364505140,1

1364505141,1

1364505142,1

1364505143,0

1364505144,1

1364505145,1

1364505146,1

1364505147,1

1364505148,1

1364505148,1

1364505150,1

1364505150,1

1364505151,1

1364505152,1

1364505153,1

1364505154,1

1364505155,1

1364505156,1

1364505157,1

1364505158,1

1364505159,1

1364505160,2

1364505161,1

1364505162,1

1364505163,1

1364505164,1

1364505165,1

1364505166,1

1364505167,1

1364505168,1

1364505169,1

1364505170,1

1364505171,1

1364505172,1

1364505173,2

1364505173,1

1364505174,1

1364505175,1

1364505176,1

1364505177,1

1364505178,1

1364505179,1

1364505180,1

1364505181,1

1364505182,1

1364505183,0

1364505184,1

1364505185,2

1364505186,1

1364505187,1

1364505188,1

1364505189,1

1364505190,1

1364505191,1

1364505192,1

1364505193,1

1364505194,1

1364505195,1

1364505196,1

1364505196,1

1364505198,1

1364505198,1

1364505199,1

1364505200,1

1364505201,1

1364505202,1

1364505203,1

1364505204,2

1364505205,1

1364505206,1

1364505207,1

1364505208,1

1364505209,1

1364505210,1

1364505211,1

1364505212,0

1364505213,1

1364505214,0

1364505215,0

1364505216,1

1364505217,1

1364505218,1

1364505219,1

1364505220,1

1364505221,1

1364505221,1

1364505222,1

1364505223,1

1364505224,1

1364505225,2

1364505226,1

1364505227,1

1364505228,1

1364505229,1

1364505230,0

1364505231,1

1364505232,1

1364505233,1

1364505234,1

1364505235,1

1364505236,1

1364505237,1

1364505238,1

1364505239,1

1364505240,1

1364505241,1

1364505242,1

1364505243,1

1364505244,1

1364505244,1

1364505246,1

1364505246,1

1364505247,0

1364505248,1

1364505249,1

1364505250,1

1364505251,1

1364505252,1

1364505253,1

1364505254,1

1364505255,1

1364505256,1

1364505257,1

1364505258,1

1364505259,1

1364505260,1

1364505261,1

1364505262,1

1364505263,1

1364505264,1

1364505265,0

1364505266,1

1364505267,1

1364505268,1

1364505269,1

1364505269,1

1364505270,1

1364505271,1

1364505272,1

1364505273,1

1364505274,1

1364505275,1

1364505276,1

1364505277,2

1364505278,1

1364505279,1

1364505280,1

1364505281,1

1364505282,0

1364505283,0

1364505284,0

1364505285,0

1364505286,0

1364505287,0

1364505288,0

1364505289,0

1364505290,0

1364505291,2

1364505292,1

1364505293,1

1364505294,1

1364505294,1

1364505295,0

1364505296,1

1364505297,0

1364505298,0

1364505299,0

1364505300,0

1364505301,0

1364505302,0

1364505303,0

1364505304,0

1364505305,0

