time,BSSID,freq,level
1364357322,dc:7b:94:87:37:be,5200,-66
1364357322,dc:7b:94:87:b3:fe,5745,-83
1364357322,dc:7b:94:87:ba:7e,5805,-89

1364357886,dc:7b:94:87:1f:c3,2412,-89
1364357886,dc:7b:94:87:37:be,5200,-66
1364357886,dc:7b:94:87:81:e3,2412,-91
1364357886,dc:7b:94:87:b3:fe,5745,-85
1364357886,dc:7b:94:87:ba:7f,5805,-84
1364357886,dc:7b:94:87:bd:01,2412,-88

1364358522,dc:7b:94:87:37:be,5200,-66
1364358522,dc:7b:94:87:9c:f3,2462,-91
1364358522,dc:7b:94:87:b3:f1,2462,-79
1364358522,dc:7b:94:87:ba:7d,5805,-85

1364359722,dc:7b:94:87:37:be,5200,-66
1364359722,dc:7b:94:87:9c:f3,2462,-91
1364359722,dc:7b:94:87:b3:fe,5745,-83
1364359722,dc:7b:94:87:ba:7f,5805,-85

1364360922,dc:7b:94:87:37:be,5200,-66
1364360922,dc:7b:94:87:b3:fe,5745,-83
1364360922,dc:7b:94:87:ba:7f,5805,-85
1364360922,dc:7b:94:87:bd:0e,5785,-85

1364361546,dc:7b:94:87:37:be,5200,-66
1364361546,dc:7b:94:87:b3:f1,2462,-77
1364361546,dc:7b:94:87:ba:71,2437,-83
1364361546,dc:7b:94:87:bd:0e,5785,-85

1364362122,dc:7b:94:87:37:be,5200,-66
1364362122,dc:7b:94:87:b3:f1,2462,-77
1364362122,dc:7b:94:87:ba:7e,5805,-87
1364362122,dc:7b:94:87:bd:02,2412,-86

1364363322,dc:7b:94:87:37:be,5200,-66
1364363322,dc:7b:94:87:b3:fe,5745,-84
1364363322,dc:7b:94:87:ba:7e,5805,-87
1364363322,dc:7b:94:87:bd:0f,5785,-82

1364363406,dc:7b:94:87:1f:c3,2412,-91
1364363406,dc:7b:94:87:37:be,5200,-66
1364363406,dc:7b:94:87:9c:f2,2462,-90
1364363406,dc:7b:94:87:b3:fe,5745,-84
1364363406,dc:7b:94:87:ba:7e,5805,-87
1364363406,dc:7b:94:87:bd:0f,5785,-82

1364364522,dc:7b:94:87:1f:c3,2412,-91
1364364522,dc:7b:94:87:37:be,5200,-66
1364364522,dc:7b:94:87:9c:f2,2462,-90
1364364522,dc:7b:94:87:b3:fe,5745,-82
1364364522,dc:7b:94:87:ba:7f,5805,-83
1364364522,dc:7b:94:87:bd:01,2412,-86

1364365226,dc:7b:94:87:1f:c3,2412,-89
1364365226,dc:7b:94:87:37:be,5200,-66
1364365226,dc:7b:94:87:9c:f0,2462,-91
1364365226,dc:7b:94:87:b3:fe,5745,-82
