time,BSSID,freq,level
1364394656,04:c5:a4:8c:a8:ac,5785,-83
1364394656,d0:57:4c:cb:32:c2,2412,-67
1364394656,dc:7b:94:87:04:0c,5745,-75
1364394656,dc:7b:94:87:13:0c,5220,-93
1364394656,dc:7b:94:87:16:bc,5200,-77
1364394656,dc:7b:94:87:2a:83,2412,-84

1364394666,04:c5:a4:8c:a8:ac,5785,-86
1364394666,d0:57:4c:cb:32:c2,2412,-65
1364394666,dc:7b:94:87:04:0c,5745,-78
1364394666,dc:7b:94:87:13:0c,5220,-94
1364394666,dc:7b:94:87:16:bc,5200,-80
1364394666,dc:7b:94:87:2a:83,2412,-83

1364394717,04:c5:a4:8c:a8:ac,5785,-84
1364394717,d0:57:4c:cb:32:c2,2412,-67
1364394717,dc:7b:94:87:04:0c,5745,-77
1364394717,dc:7b:94:87:13:0c,5220,-98
1364394717,dc:7b:94:87:16:bc,5200,-77
1364394717,dc:7b:94:87:2a:83,2412,-83

1364394838,04:c5:a4:8c:a8:ac,5785,-80
1364394838,d0:57:4c:cb:32:c2,2412,-67
1364394838,dc:7b:94:87:04:0c,5745,-78
1364394838,dc:7b:94:87:13:0c,5220,-92
1364394838,dc:7b:94:87:16:bc,5200,-71
1364394838,dc:7b:94:87:2a:82,2412,-88
1364394838,dc:7b:94:87:2a:83,2412,-83

1364394959,04:c5:a4:8c:a8:ac,5785,-86
1364394959,d0:57:4c:cb:32:c2,2412,-66
1364394959,dc:7b:94:87:03:51,2437,-89
1364394959,dc:7b:94:87:04:0c,5745,-73
1364394959,dc:7b:94:87:13:0c,5220,-95
1364394959,dc:7b:94:87:16:bc,5200,-68
1364394959,dc:7b:94:87:1e:a3,2437,-88
1364394959,dc:7b:94:87:2a:82,2412,-88

1364395081,04:c5:a4:8c:a8:ac,5785,-82
1364395081,d0:57:4c:cb:32:c3,2412,-67
1364395081,dc:7b:94:87:03:51,2437,-89
1364395081,dc:7b:94:87:04:0c,5745,-79
1364395081,dc:7b:94:87:13:0c,5220,-95
1364395081,dc:7b:94:87:16:bc,5200,-70
1364395081,dc:7b:94:87:1e:a3,2437,-88
1364395081,dc:7b:94:87:2a:80,2412,-83

1364395203,04:c5:a4:8c:a8:ac,5785,-90
1364395203,d0:57:4c:cb:32:c3,2412,-66
1364395203,dc:7b:94:87:04:0c,5745,-74
1364395203,dc:7b:94:87:13:0c,5220,-93
1364395203,dc:7b:94:87:16:bc,5200,-71
1364395203,dc:7b:94:87:2a:80,2412,-85

1364395271,04:c5:a4:8c:a8:a3,2437,-75
1364395271,d0:57:4c:cb:32:c3,2412,-73
1364395271,dc:7b:94:87:04:0c,5745,-76
1364395271,dc:7b:94:87:13:03,2462,-86
1364395271,dc:7b:94:87:16:bc,5200,-77
1364395271,dc:7b:94:87:2a:81,2412,-78

1364396109,04:c5:a4:8c:a8:ac,5785,-80
1364396109,d0:57:4c:cb:32:c0,2412,-63
1364396109,dc:7b:94:87:04:03,2437,-62
1364396109,dc:7b:94:87:13:0c,5220,-88
1364396109,dc:7b:94:87:16:b3,2462,-63
1364396109,dc:7b:94:87:1e:ac,5745,-91
1364396109,dc:7b:94:87:21:9c,5240,-94
1364396109,dc:7b:94:87:2a:83,2412,-82

1364396194,04:c5:a4:8c:a8:ac,5785,-80
1364396194,d0:57:4c:cb:32:c0,2412,-63
1364396194,dc:7b:94:87:04:03,2437,-61
1364396194,dc:7b:94:87:13:0c,5220,-93
1364396194,dc:7b:94:87:16:b3,2462,-63
1364396194,dc:7b:94:87:16:bc,5200,-80
1364396194,dc:7b:94:87:1e:a2,2437,-90
1364396194,dc:7b:94:87:1e:ac,5745,-91
