time,BSSID,freq,level
1364493510,00:25:bc:88:5b:6e,5785,-81
1364493510,00:26:18:9f:c0:c9,2437,-44
1364493510,1c:17:d3:fc:db:2f,5200,-68
1364493510,1c:17:d3:fc:f1:10,2412,-68
1364493510,2c:b0:5d:9e:26:6d,5220,-95
1364493510,74:44:01:96:50:68,5220,-92
1364493510,ac:a0:16:ca:5b:ef,5765,-83
1364493510,ac:a0:16:ca:a2:62,2462,-87
1364493510,ac:a0:16:ca:c3:c2,2437,-86
1364493510,d0:57:4c:08:76:4d,5765,-89
1364493510,d0:57:4c:56:fd:40,2437,-71
1364493510,d0:57:4c:57:57:ff,5220,-70
1364493510,dc:7b:94:87:27:3e,5785,-83

1364494481,00:1c:10:af:35:b5,2462,-81
1364494481,00:25:bc:88:5b:6d,2427,-76
1364494481,00:26:18:9f:c0:c9,2437,-30
1364494481,1c:17:d3:fc:db:2f,5200,-75
1364494481,1c:17:d3:fc:f1:10,2412,-79
1364494481,2c:b0:5d:9e:26:6b,2417,-69
1364494481,74:44:01:96:50:66,2422,-71
1364494481,ac:a0:16:ca:5b:e1,2412,-86
1364494481,ac:a0:16:ca:c3:c1,2437,-87
1364494481,d0:57:4c:56:58:60,2412,-90
1364494481,d0:57:4c:56:fd:40,2437,-72
1364494481,d0:57:4c:57:57:f0,2412,-68
1364494481,dc:7b:94:87:27:31,2462,-73
1364494481,dc:7b:94:87:53:d2,2412,-87

1364494709,00:01:36:57:be:88,2427,-79
1364494709,00:1c:10:af:35:b5,2462,-86
1364494709,00:25:bc:88:5b:6d,2427,-76
1364494709,00:26:18:9f:c0:c9,2437,-33
1364494709,1c:17:d3:fc:db:20,2462,-72
1364494709,1c:17:d3:fc:f1:10,2412,-84
1364494709,2c:b0:5d:9e:26:6b,2417,-77
1364494709,74:44:01:96:50:66,2422,-69
1364494709,ac:a0:16:ca:c3:c0,2437,-85
1364494709,d0:57:4c:56:fd:40,2437,-73
1364494709,d0:57:4c:57:57:ff,5220,-75
1364494709,dc:7b:94:87:27:30,2462,-72

1364494931,00:01:36:57:be:88,2427,-78
1364494931,00:1c:10:af:35:b5,2462,-86
1364494931,00:25:bc:88:5b:6d,2427,-72
1364494931,00:26:18:9f:c0:c9,2437,-39
1364494931,1c:17:d3:fc:db:2f,5200,-75
1364494931,2c:b0:5d:9e:26:6b,2417,-75
1364494931,74:44:01:96:50:66,2422,-73
1364494931,ac:a0:16:ca:c3:c1,2437,-92
1364494931,d0:57:4c:56:fd:41,2437,-77
1364494931,d0:57:4c:57:57:f0,2412,-73
1364494931,dc:7b:94:87:27:3e,5785,-89

1364495909,00:01:36:57:be:88,2427,-78
1364495909,00:1c:10:af:35:b5,2462,-86
1364495909,00:25:bc:88:5b:6d,2427,-72
1364495909,00:26:18:9f:c0:c9,2437,-32
1364495909,1c:17:d3:fc:db:2f,5200,-75
1364495909,2c:b0:5d:9e:26:6b,2417,-75
1364495909,74:44:01:96:50:66,2422,-73
1364495909,ac:a0:16:ca:c3:c1,2437,-92
1364495909,d0:57:4c:56:fd:41,2437,-77
1364495909,d0:57:4c:57:57:f0,2412,-73
1364495909,dc:7b:94:87:27:3e,5785,-89

1364496785,00:01:36:57:be:88,2427,-78
1364496785,00:1c:10:af:35:b5,2462,-85
1364496785,00:25:bc:88:5b:6d,2427,-72
1364496785,00:26:18:9f:c0:c9,2437,-32
1364496785,1c:17:d3:fc:db:20,2462,-66
1364496785,2c:b0:5d:9e:26:6b,2417,-63
1364496785,74:44:01:96:50:66,2422,-14
1364496785,ac:a0:16:ca:c3:c1,2437,-92
1364496785,d0:57:4c:56:fd:41,2437,-77
1364496785,d0:57:4c:57:57:ff,5220,-74
1364496785,dc:7b:94:87:27:3e,5785,-88

1364497109,00:1c:10:af:35:b5,2462,-85
1364497109,00:25:bc:88:5b:6e,5785,-83
1364497109,00:26:18:9f:c0:c9,2437,-32
1364497109,1c:17:d3:fc:db:20,2462,-66
1364497109,1c:17:d3:fc:f1:10,2412,-80
1364497109,2c:b0:5d:9e:26:6b,2417,-70
1364497109,74:44:01:96:50:66,2422,-14
1364497109,ac:a0:16:ca:5b:e2,2412,-85
1364497109,d0:57:4c:57:57:ff,5220,-73
1364497109,dc:7b:94:87:27:3e,5785,-88
1364497109,dc:7b:94:87:53:d1,2412,-82

1364498309,00:1c:10:af:35:b5,2462,-85
1364498309,00:25:bc:88:5b:6e,5785,-83
1364498309,00:26:18:9f:c0:c9,2437,-32
1364498309,1c:17:d3:fc:db:20,2462,-66
1364498309,1c:17:d3:fc:f1:10,2412,-80
1364498309,2c:b0:5d:9e:26:6b,2417,-70
1364498309,74:44:01:96:50:66,2422,-14
1364498309,ac:a0:16:ca:5b:e2,2412,-85
1364498309,d0:57:4c:57:57:ff,5220,-76
1364498309,dc:7b:94:87:27:3d,5785,-86
1364498309,dc:7b:94:87:53:d1,2412,-82

1364498608,00:25:bc:88:5b:6e,5785,-83
1364498608,00:26:18:9f:c0:c9,2437,-32
1364498608,1c:17:d3:fc:db:2f,5200,-74
1364498608,1c:17:d3:fc:f1:10,2412,-80
1364498608,ac:a0:16:ca:5b:e2,2412,-85
1364498608,d0:57:4c:56:fd:40,2437,-79
1364498608,d0:57:4c:57:57:ff,5220,-83
1364498608,dc:7b:94:87:27:3f,5785,-86
1364498608,dc:7b:94:87:53:d1,2412,-82

1364499509,00:25:bc:88:5b:6e,5785,-82
1364499509,00:26:18:9f:c0:c9,2437,-44
1364499509,1c:17:d3:fc:db:2f,5200,-74
1364499509,1c:17:d3:fc:f1:13,2412,-71
1364499509,2c:b0:5d:9e:26:6b,2417,0
1364499509,d0:57:4c:56:fd:40,2437,-79
1364499509,d0:57:4c:57:57:ff,5220,-77
1364499509,dc:7b:94:87:27:3c,5785,-87

1364500413,00:01:36:57:be:88,2427,-68
1364500413,00:25:bc:88:5b:6d,2427,-63
1364500413,00:26:18:9f:c0:c9,2437,-46
1364500413,1c:17:d3:fc:db:2f,5200,-76
1364500413,1c:17:d3:fc:f1:13,2412,-71
1364500413,2c:b0:5d:9e:26:6b,2417,-53
1364500413,74:44:01:96:50:66,2422,-67
1364500413,d0:57:4c:56:fd:41,2437,-72
1364500413,d0:57:4c:57:57:ff,5220,-82
1364500413,dc:7b:94:87:27:32,2462,-75

1364500709,00:01:36:57:be:88,2427,-68
1364500709,00:25:bc:88:5b:6d,2427,-63
1364500709,00:26:18:9f:c0:c9,2437,-46
1364500709,1c:17:d3:fc:db:2f,5200,-76
1364500709,2c:b0:5d:9e:26:6b,2417,-10
1364500709,74:44:01:96:50:66,2422,-67
1364500709,ac:a0:16:ca:5b:ed,5765,-89
1364500709,d0:57:4c:56:fd:41,2437,-72
1364500709,d0:57:4c:57:57:ff,5220,-78
1364500709,dc:7b:94:87:27:32,2462,-75

1364501909,00:01:36:57:be:87,2427,-71
1364501909,00:25:bc:88:5b:6d,2427,-67
1364501909,00:26:18:9f:c0:c9,2437,-42
1364501909,1c:17:d3:fc:db:2f,5200,-77
1364501909,2c:b0:5d:9e:26:6b,2417,-10
1364501909,ac:a0:16:ca:5b:ed,5765,-89
1364501909,d0:57:4c:57:57:ff,5220,-80
1364501909,dc:7b:94:87:27:3f,5785,-91
1364501909,dc:7b:94:87:53:d2,2412,-86

1364502224,00:01:36:57:be:87,2427,-76
1364502224,00:25:bc:88:5b:6d,2427,-66
1364502224,00:26:18:9f:c0:c9,2437,-42
1364502224,1c:17:d3:fc:db:2f,5200,-77
1364502224,1c:17:d3:fc:f1:10,2412,-68
1364502224,2c:b0:5d:9e:26:6b,2417,0
1364502224,74:44:01:96:50:66,2422,0
