timestamp, activity inference
1364409869,0

1364409872,0

1364409874,0

1364409877,0

1364409879,0

1364409882,0

1364409885,0

1364409887,0

1364409890,0

1364411651,0

1364411654,0

1364411656,0

1364411659,0

1364411662,0

1364411664,0

1364411667,0

1364411669,0

1364411672,0

1364411675,0

1364411677,0

1364411680,0

1364411682,0

1364411685,0

1364411688,0

1364411690,0

1364411693,0

1364411695,0

1364411698,0

1364411700,0

1364411703,0

1364411706,0

1364760468,0

1364760470,0

1364760473,0

1364760476,0

1364760478,0

1364760486,0

1364760488,0

1364760491,0

1364760494,0

1364760496,0

1364760499,0

1364760501,0

1364760504,0

1364760690,0

1364760692,0

1364760695,0

1364760697,0

1364760700,0

1364760703,0

1364760705,0

1364760708,0

1364760710,0

1364760713,0

1364760715,0

1364760718,0

1364760721,0

1364760723,0

1364760726,0

1364760728,0

1364760731,0

1364760734,0

1364760736,0

1364760739,0

1364760741,0

1364760744,0

1364760926,0

1364760929,0

1364760931,0

1364760934,0

1364760936,0

1364760939,0

1364760941,0

1364760944,0

1364760947,0

1364760949,0

1364760952,0

1364760954,0

1364760957,0

1364760959,0

1364760962,0

1364760965,0

1364760967,0

1364760970,0

1364760972,0

1364760975,0

1364760977,0

1364760980,0

1364760983,0

1364761166,0

1364761168,0

1364761171,0

1364761173,0

1364761176,0

1364761178,0

1364761181,0

1364761184,0

1364761186,0

1364761189,0

1364761191,0

1364761194,0

1364761197,0

1364761199,0

1364761202,0

1364761204,0

1364761207,0

1364761209,0

1364761212,0

1364761215,0

1364761217,0

1364761220,0

1364761222,0

1364761405,0

1364761408,0

1364761410,0

1364761413,0

1364761416,0

1364761418,0

1364761421,0

1364761423,0

1364761426,0

1364761428,0

1364761431,0

1364761434,0

1364761436,0

1364761439,0

1364761441,0

1364761444,0

1364761446,0

1364761449,0

1364761452,0

1364761454,0

1364761457,0

1364761459,0

1364761462,0

1364761464,0

1364761647,0

1364761650,0

1364761652,0

1364761655,0

1364761658,0

1364761660,0

1364761663,0

1364761665,0

1364761668,0

1364761671,0

1364761673,0

1364761676,0

1364761678,0

1364761681,0

1364761683,0

1364761686,0

1364761689,0

1364761691,0

1364761694,0

1364761696,0

1364761699,0

1364761701,0

1364761704,0

1364761887,0

1364761889,0

1364761892,0

1364761895,0

1364761897,0

1364761900,0

1364761902,0

1364761905,0

1364761907,0

1364761910,0

1364761913,0

1364761915,0

1364761918,0

1364761920,0

1364761923,0

1364761926,0

1364761928,0

1364761931,0

1364761933,0

1364761936,0

1364761938,0

1364761941,0

1364761944,0

1364762126,0

1364762129,0

1364762132,0

1364762134,0

1364762137,0

1364762139,0

1364762142,0

1364762144,0

1364762147,0

1364762150,0

1364762152,0

1364762155,0

1364762157,0

1364762160,0

1364762162,0

1364762165,0

1364762168,0

1364762170,0

1364762173,0

1364762175,0

1364762178,0

1364762181,0

1364762183,0

1364762366,0

1364762369,0

1364762371,0

1364762374,0

1364762376,0

1364762379,0

1364762382,0

1364762384,0

1364762387,0

1364762389,0

1364762392,0

1364762394,0

1364762397,0

1364762400,0

1364762402,0

1364762405,0

1364762407,0

1364762410,0

1364762412,0

1364762415,0

1364762418,0

1364762420,0

1364762423,0

1364762606,0

1364762608,0

1364762611,0

1364762613,0

1364762616,0

1364762619,0

1364762621,0

1364762624,0

1364762626,0

1364762629,0

1364762631,0

1364762634,0

1364762637,0

1364762639,0

1364762642,0

1364762644,0

1364762647,0

1364762650,0

1364762652,0

1364762655,0

1364762657,0

1364762660,0

1364762662,0

1364762845,0

1364762848,0

1364762850,0

1364762853,0

1364762856,0

1364762858,0

1364762861,0

1364762863,0

1364762866,0

1364762868,0

1364762871,0

1364762874,0

1364762876,0

1364762879,0

1364762881,0

1364762884,0

1364762887,0

1364762889,0

1364762892,0

1364762894,0

1364762897,0

1364762899,0

1364762902,0

1364762905,0

1364763087,0

1364763090,0

1364763093,0

1364763095,0

1364763098,0

1364763100,0

1364763103,0

1364763105,0

1364763108,0

1364763111,0

1364763113,0

1364763116,0

1364763118,0

1364763121,0

1364763123,0

1364763126,0

1364763129,0

1364763131,0

1364763134,0

1364763136,0

1364763139,0

1364763142,0

1364763144,0

1364763327,0

1364763330,0

1364763332,0

1364763335,0

1364763337,0

1364763340,0

1364763342,0

1364763345,0

1364763348,0

1364763350,0

1364763353,0

1364763355,0

1364763358,0

1364763360,0

1364763363,0

1364763366,0

1364763368,0

1364763371,0

1364763373,0

1364763376,0

1364763379,0

1364763381,0

1364763384,0

1364763567,0

1364763569,0

1364763572,0

1364763574,0

1364763577,0

1364763580,0

1364763582,0

1364763585,0

1364763587,0

1364763590,0

1364763592,0

1364763595,0

1364763598,0

1364763600,0

1364763603,0

1364763605,0

1364763608,0

1364763611,0

1364763613,0

1364763616,0

1364763618,0

1364763621,0

1364763623,0

1364763806,0

1364763809,0

1364763812,0

1364763814,0

1364763817,0

1364763819,0

1364763822,0

1364763824,0

1364763827,0

1364763830,0

1364763832,0

1364763835,0

1364763837,0

1364763840,0

1364763842,0

1364763845,0

1364763848,0

1364763850,0

1364763853,0

1364763855,0

1364763858,0

1364763861,0

1364763863,0

1364764046,0

1364764049,0

1364764051,0

1364764054,0

1364764056,0

1364764059,0

1364764061,0

1364764064,0

1364764067,0

1364764069,0

1364764072,0

1364764074,0

1364764077,0

1364764080,0

1364764082,0

1364764085,0

1364764087,0

1364764090,0

1364764092,0

1364764095,0

1364764098,0

1364764100,0

1364764103,0

1364764105,0

1364764288,0

1364764291,0

1364764293,0

1364764296,0

1364764298,0

1364764301,0

1364764304,0

1364764306,0

1364764309,0

1364764311,0

1364764314,0

1364764316,0

1364764319,0

1364764322,0

1364764324,0

1364764327,0

1364764329,0

1364764332,0

1364764335,0

1364764337,0

1364764340,0

1364764342,0

1364764345,0

1364764528,0

1364764530,0

1364764533,0

1364764535,0

1364764538,0

1364764541,0

1364764543,0

1364764546,0

1364764548,0

1364764551,0

1364764553,0

1364764556,0

1364764559,0

1364764561,0

1364764564,0

1364764566,0

1364764569,0

1364764572,0

1364764574,0

1364764577,0

1364764579,0

1364764582,0

1364764584,0

1364764767,0

1364764770,0

1364764772,0

1364764775,0

1364764778,0

1364764780,0

1364764783,0

1364764785,0

1364764788,0

1364764790,0

1364764793,0

1364764796,0

1364764798,0

1364764801,0

1364764803,0

1364764806,0

1364764809,0

1364764811,0

1364764814,0

1364764816,0

1364764819,0

1364764821,0

1364764824,0

1364765007,0

1364765009,0

1364765012,0

1364765015,0

1364765017,0

1364765020,0

1364765022,0

1364765025,0

1364765028,0

1364765030,0

1364765033,0

1364765035,0

1364765038,0

1364765040,0

1364765043,0

1364765046,0

1364765048,0

1364765051,0

1364765053,0

1364765056,0

1364765058,0

1364765061,0

