timestamp, activity inference
1364356800,0

1364356802,0

1364356805,0

1364356807,0

1364356810,0

1364356813,0

1364356815,0

1364356818,0

1364357001,0

1364357003,0

1364357006,0

1364357008,0

1364357011,0

1364357014,0

1364357016,0

1364357019,0

1364357021,0

1364357024,0

1364357026,0

1364357029,0

1364357032,0

1364357034,0

1364357037,0

1364357039,0

1364357042,0

1364357045,0

1364357047,0

1364357050,0

1364357052,0

1364357055,0

1364357057,0

1364357240,0

1364357243,0

1364357245,0

1364357248,0

1364357251,0

1364357253,0

1364357256,0

1364357258,0

1364357261,0

1364357263,0

1364357266,0

1364357269,0

1364357271,0

1364357274,0

1364357276,0

1364357279,0

1364357281,0

1364357284,0

1364357287,0

1364357289,0

1364357292,0

1364357294,0

1364357297,0

1364357480,0

1364357483,0

1364357485,0

1364357488,0

1364357490,0

1364357493,0

1364357495,0

1364357498,0

1364357501,0

1364357503,0

1364357506,0

1364357508,0

1364357511,0

1364357514,0

1364357516,0

1364357519,0

1364357521,0

1364357524,0

1364357526,0

1364357529,0

1364357532,0

1364357534,0

1364357537,0

1364357720,0

1364357725,0

1364357728,0

1364357730,0

1364357733,0

1364357738,0

1364357741,0

1364357743,0

1364357746,0

1364357748,0

1364357751,0

1364357753,0

1364357756,0

1364357759,0

1364357761,0

1364357764,0

1364357766,0

1364357769,0

1364357771,0

1364357774,0

1364357777,0

1364357960,0

1364357963,0

1364357965,0

1364357968,0

1364357970,0

1364357973,0

1364357976,0

1364357978,0

1364357981,0

1364357983,0

1364357986,0

1364357988,0

1364357991,0

1364357994,0

1364357996,0

1364357999,0

1364358001,0

1364358004,0

1364358006,0

1364358009,0

1364358012,0

1364358014,0

1364358017,0

1364358200,0

1364358202,0

1364358205,0

1364358207,0

1364358210,0

1364358213,0

1364358215,0

1364358218,0

1364358220,0

1364358223,0

1364358226,0

1364358228,0

1364358231,0

1364358233,0

1364358236,0

1364358238,0

1364358241,0

1364358244,0

1364358246,0

1364358249,0

1364358251,0

1364358254,0

1364358257,0

1364358439,0

1364358442,0

1364358445,0

1364358447,0

1364358450,0

1364358452,0

1364358455,0

1364358457,0

1364358460,0

1364358463,0

1364358465,0

1364358468,0

1364358470,0

1364358473,0

1364358476,0

1364358478,0

1364358481,0

1364358483,0

1364358486,0

1364358488,0

1364358491,0

1364358494,0

1364358496,0

1364358499,0

1364358682,0

1364358684,0

1364358687,0

1364358689,0

1364358692,0

1364358695,0

1364358697,0

1364358700,0

1364358702,0

1364358705,0

1364358707,0

1364358710,0

1364358713,0

1364358715,0

1364358718,0

1364358720,0

1364358723,0

1364358726,0

1364358728,0

1364358731,0

